,rawAddress,county,bedrooms,bathrooms,squareFootage,yearBuilt,lotSize,propertyType,price,addressLine1,city,state,zipCode,formattedAddress,lastSeen,listedDate,status,removedDate,daysOnMarket,createdDate,id,latitude,longitude,addressLine2
0,"3004 W Running Deer Trl, Phoenix, AZ 85083",Maricopa County,3,2.0,1524,2000,5508.0,Single Family,479000,3004 W Running Deer Trl,Phoenix,AZ,85083,"3004 W Running Deer Trl, Phoenix, AZ 85083",2022-09-01T14:49:22.739Z,2022-07-18T02:24:37.000Z,Active,,46,2022-08-05T18:04:27.108Z,"3004-W-Running-Deer-Trl,-Phoenix,-AZ-85083",33.73837,-112.123658,
1,"2217 N 23rd Pl, Phoenix, AZ 85006",Maricopa County,3,2.0,1546,1935,6835.0,Single Family,381000,2217 N 23rd Pl,Phoenix,AZ,85006,"2217 N 23rd Pl, Phoenix, AZ 85006",2022-09-01T14:49:22.734Z,2022-07-18T17:45:41.000Z,Active,,45,2022-03-18T14:54:57.677Z,"2217-N-23rd-Pl,-Phoenix,-AZ-85006",33.471916,-112.031007,
2,"2553 E Pueblo Ave, Phoenix, AZ 85040",Maricopa County,8,1.0,2484,1985,,Duplex-Triplex,699000,2553 E Pueblo Ave,Phoenix,AZ,85040,"2553 E Pueblo Ave, Phoenix, AZ 85040",2022-09-01T14:49:22.733Z,2022-07-18T17:45:41.000Z,Active,,45,2022-08-05T18:04:27.104Z,"2553-E-Pueblo-Ave,-Phoenix,-AZ-85040",33.407599,-112.024221,
3,"4625 N 78th Dr, Phoenix, AZ 85033",Maricopa County,6,3.0,1682,1978,6891.0,Single Family,410000,4625 N 78th Dr,Phoenix,AZ,85033,"4625 N 78th Dr, Phoenix, AZ 85033",2022-09-01T14:49:22.728Z,2022-07-18T17:45:41.000Z,Active,,45,2022-02-05T14:06:14.466Z,"4625-N-78th-Dr,-Phoenix,-AZ-85033",33.504775,-112.227614,
4,"2020 N 78th Ave, Phoenix, AZ 85035",Maricopa County,3,3.5,1383,2008,1742.0,Single Family,366000,2020 N 78th Ave,Phoenix,AZ,85035,"2020 N 78th Ave, Phoenix, AZ 85035",2022-09-01T14:49:22.725Z,2022-07-18T18:05:34.000Z,Active,,45,2022-07-19T16:57:43.737Z,"2020-N-78th-Ave,-Phoenix,-AZ-85035",33.46999,-112.227193,
5,"13824 N 42nd Dr, Phoenix, AZ 85053",Maricopa County,2,2.5,1228,1991,1866.0,Townhouse,303000,13824 N 42nd Dr,Phoenix,AZ,85053,"13824 N 42nd Dr, Phoenix, AZ 85053",2022-09-01T14:49:22.724Z,2022-07-18T18:35:28.000Z,Active,,45,2022-07-19T16:27:45.630Z,"13824-N-42nd-Dr,-Phoenix,-AZ-85053",33.612045,-112.150054,
6,"4440 N 76th Dr, Phoenix, AZ 85033",Maricopa County,4,2.0,1503,1977,10916.0,Single Family,440000,4440 N 76th Dr,Phoenix,AZ,85033,"4440 N 76th Dr, Phoenix, AZ 85033",2022-09-01T14:49:22.722Z,2022-07-18T18:55:06.000Z,Active,,45,2022-07-19T17:19:37.730Z,"4440-N-76th-Dr,-Phoenix,-AZ-85033",33.50164,-112.224612,
7,"1546 W Mercer Ln Unit M, Phoenix, AZ 85029",Maricopa County,8,2.0,3240,1984,,Duplex-Triplex,685000,1546 W Mercer Ln,Phoenix,AZ,85029,"1546 W Mercer Ln, Unit M, Phoenix, AZ 85029",2022-09-01T14:49:22.722Z,2022-07-18T20:15:26.000Z,Active,,45,2022-08-05T18:04:24.905Z,"1546-W-Mercer-Ln,-Unit-M,-Phoenix,-AZ-85029",33.584715,-112.093565,Unit M
8,"7207 N 41st Dr, Phoenix, AZ 85051",Maricopa County,3,2.0,1934,1970,6556.0,Single Family,410000,7207 N 41st Dr,Phoenix,AZ,85051,"7207 N 41st Dr, Phoenix, AZ 85051",2022-09-01T14:49:22.721Z,2022-07-18T20:06:12.000Z,Active,,45,2022-07-19T17:05:06.566Z,"7207-N-41st-Dr,-Phoenix,-AZ-85051",33.542479,-112.147772,
9,"3034 N 40th St Apt 7, Phoenix, AZ 85018",Maricopa County,1,1.0,648,1963,1439.0,Townhouse,269900,3034 N 40th St,Phoenix,AZ,85018,"3034 N 40th St, Apt 7, Phoenix, AZ 85018",2022-09-01T14:49:22.718Z,2022-07-18T21:25:30.000Z,Active,,45,2021-09-23T15:23:57.500Z,"3034-N-40th-St,-Apt-7,-Phoenix,-AZ-85018",33.483589,-111.996495,Apt 7
