Day of Year,Year of Period End,Period Begin,Period End,adjusted_average_homes_sold,adjusted_average_homes_sold_yoy,Average Homes Sold Yoy (tooltip)
2,2022,12/6/2021,1/2/2022,"1,879",-0.026929052,-2.7%
3,2021,12/7/2020,1/3/2021,"1,931",0.245003224,24.5%
5,2020,12/9/2019,1/5/2020,"1,551",0.11663067,11.7%
6,2019,12/10/2018,1/6/2019,"1,389",-0.095703125,-9.6%
9,2022,12/13/2021,1/9/2022,"1,796",-0.036480687,-3.6%
10,2021,12/14/2020,1/10/2021,"1,864",0.281099656,28.1%
12,2020,12/16/2019,1/12/2020,"1,455",0.139389193,13.9%
13,2019,12/17/2018,1/13/2019,"1,277",-0.085243553,-8.5%
16,2022,12/20/2021,1/16/2022,"1,680",-0.024956471,-2.5%
17,2021,12/21/2020,1/17/2021,"1,723",0.308276386,30.8%
19,2020,12/23/2019,1/19/2020,"1,317",0.128534704,12.9%
20,2019,12/24/2018,1/20/2019,"1,167",-0.101616628,-10.2%
23,2022,12/27/2021,1/23/2022,"1,606",-0.065735893,-6.6%
24,2021,12/28/2020,1/24/2021,"1,719",0.279970216,28.0%
26,2020,12/30/2019,1/26/2020,"1,343",0.20990991,21.0%
27,2019,12/31/2018,1/27/2019,"1,110",-0.07960199,-8.0%
30,2022,1/3/2022,1/30/2022,"1,518",-0.12858783,-12.9%
31,2021,1/4/2021,1/31/2021,"1,742",0.20137931,20.1%
33,2020,1/6/2020,2/2/2020,"1,450",0.174089069,17.4%
34,2019,1/7/2019,2/3/2019,"1,235",-0.109589041,-11.0%
37,2022,1/10/2022,2/6/2022,"1,548",-0.079119572,-7.9%
38,2021,1/11/2021,2/7/2021,"1,681",0.165742025,16.6%
40,2020,1/13/2020,2/9/2020,"1,442",0.168557536,16.9%
41,2019,1/14/2019,2/10/2019,"1,234",-0.112230216,-11.2%
44,2022,1/17/2022,2/13/2022,"1,552",-0.059393939,-5.9%
45,2021,1/18/2021,2/14/2021,"1,650",0.1,10.0%
47,2020,1/20/2020,2/16/2020,"1,500",0.142421935,14.2%
48,2019,1/21/2019,2/17/2019,"1,313",-0.115824916,-11.6%
51,2022,1/24/2022,2/20/2022,"1,687",-0.024855491,-2.5%
52,2021,1/25/2021,2/21/2021,"1,730",0.058103976,5.8%
54,2020,1/27/2020,2/23/2020,"1,635",0.144156753,14.4%
55,2019,1/28/2019,2/24/2019,"1,429",-0.092698413,-9.3%
58,2022,1/31/2022,2/27/2022,"1,794",-0.049788136,-5.0%
59,2021,2/1/2021,2/28/2021,"1,888",0.042517946,4.3%
61,2020,2/3/2020,3/1/2020,"1,811",0.104268293,10.4%
62,2019,2/4/2019,3/3/2019,"1,640",-0.086859688,-8.7%
65,2022,2/7/2022,3/6/2022,"2,012",-0.023774867,-2.4%
66,2021,2/8/2021,3/7/2021,"2,061",0.070093458,7.0%
68,2020,2/10/2020,3/8/2020,"1,926",0.089366516,8.9%
69,2019,2/11/2019,3/10/2019,"1,768",-0.089598352,-9.0%
72,2022,2/14/2022,3/13/2022,"2,078",-0.018885741,-1.9%
73,2021,2/15/2021,3/14/2021,"2,118",0.083375959,8.3%
75,2020,2/17/2020,3/15/2020,"1,955",0.067722556,6.8%
76,2019,2/18/2019,3/17/2019,"1,831",-0.095355731,-9.5%
79,2022,2/21/2022,3/20/2022,"2,102",-0.04411096,-4.4%
80,2021,2/22/2021,3/21/2021,"2,199",0.0995,9.9%
82,2020,2/24/2020,3/22/2020,"2,000",0.042209484,4.2%
83,2019,2/25/2019,3/24/2019,"1,919",-0.087059943,-8.7%
86,2022,2/28/2022,3/27/2022,"2,090",0.026522593,2.7%
87,2021,3/1/2021,3/28/2021,"2,036",0.092860977,9.3%
